score_range,pizza,sushi,japanese,italian,falafel,burgers,thai,polish,pasta,american,vegetarian,indian,vietnamese,dumplings,kebab,meat,chinese,soup,salads,curry,snacks,turkish,international,sandwiches,desserts,wrap,arab,mexican,pancakes,seafood,breakfast,georgian,gluten-free,cake,korean,coffee,fish,greek,french,poke-bowl,spanish-and-tapas,kids-menu,ukrainian
<3.5,0.10465116279069768,0.011627906976744186,0.011627906976744186,0.09302325581395349,0.06976744186046512,0.05813953488372093,0.023255813953488372,0.0,0.05813953488372093,0.046511627906976744,0.023255813953488372,0.011627906976744186,0.023255813953488372,0.0,0.10465116279069768,0.011627906976744186,0.023255813953488372,0.011627906976744186,0.03488372093023256,0.011627906976744186,0.046511627906976744,0.05813953488372093,0.03488372093023256,0.011627906976744186,0.03488372093023256,0.023255813953488372,0.0,0.03488372093023256,0.011627906976744186,0.0,0.0,0.0,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5-3.8,0.09696969696969697,0.03636363636363636,0.04242424242424243,0.08484848484848485,0.048484848484848485,0.07272727272727272,0.01818181818181818,0.030303030303030304,0.03636363636363636,0.048484848484848485,0.04242424242424243,0.012121212121212121,0.012121212121212121,0.030303030303030304,0.06060606060606061,0.01818181818181818,0.012121212121212121,0.01818181818181818,0.024242424242424242,0.012121212121212121,0.03636363636363636,0.03636363636363636,0.006060606060606061,0.0,0.024242424242424242,0.01818181818181818,0.012121212121212121,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.012121212121212121,0.006060606060606061,0.006060606060606061,0.006060606060606061,0.0,0.012121212121212121,0.0,0.006060606060606061,0.0,0.0,0.006060606060606061,0.0,0.0
3.8-4.3,0.09137055837563451,0.043993231810490696,0.038917089678511,0.07952622673434856,0.05922165820642978,0.04568527918781726,0.050761421319796954,0.043993231810490696,0.049069373942470386,0.032148900169204735,0.03722504230118443,0.018612521150592216,0.028764805414551606,0.0338409475465313,0.04060913705583756,0.028764805414551606,0.0338409475465313,0.01353637901861252,0.030456852791878174,0.01353637901861252,0.01692047377326565,0.021996615905245348,0.018612521150592216,0.01353637901861252,0.011844331641285956,0.01353637901861252,0.018612521150592216,0.01015228426395939,0.008460236886632826,0.005076142131979695,0.008460236886632826,0.00676818950930626,0.005076142131979695,0.005076142131979695,0.001692047377326565,0.00338409475465313,0.001692047377326565,0.00338409475465313,0.005076142131979695,0.0,0.001692047377326565,0.001692047377326565,0.00338409475465313
>4.3,0.04625346901017576,0.07955596669750231,0.0730804810360777,0.03700277520814061,0.0425531914893617,0.04625346901017576,0.05365402405180388,0.04810360777058279,0.036077705827937095,0.0425531914893617,0.041628122109158186,0.04810360777058279,0.03515263644773358,0.03145235892691952,0.013876040703052728,0.032377428307123035,0.02960222016651249,0.03700277520814061,0.02497687326549491,0.037927844588344126,0.014801110083256245,0.010175763182238668,0.014801110083256245,0.016651248843663275,0.012025901942645698,0.012025901942645698,0.005550416281221091,0.005550416281221091,0.008325624421831638,0.011100832562442183,0.008325624421831638,0.0064754856614246065,0.005550416281221091,0.005550416281221091,0.0074005550416281225,0.004625346901017576,0.0064754856614246065,0.0009250693802035153,0.0009250693802035153,0.0037002775208140612,0.0009250693802035153,0.0009250693802035153,0.0
