score_range,pizza,sushi,japanese,italian,falafel,burgers,thai,polish,pasta,american,vegetarian,indian,vietnamese,dumplings,kebab,meat,chinese,soup,salads,curry,snacks,turkish,international,sandwiches,desserts,wrap,arab,mexican,pancakes,seafood,breakfast,georgian,gluten-free,cake,korean,coffee,fish,greek,french,poke-bowl,spanish-and-tapas,kids-menu,ukrainian
<3.5,9,1,1,8,6,5,2,0,5,4,2,1,2,0,9,1,2,1,3,1,4,5,3,1,3,2,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3.5-3.8,16,6,7,14,8,12,3,5,6,8,7,2,2,5,10,3,2,3,4,2,6,6,1,0,4,3,2,3,3,3,2,1,1,1,0,2,0,1,0,0,1,0,0
3.8-4.3,54,26,23,47,35,27,30,26,29,19,22,11,17,20,24,17,20,8,18,8,10,13,11,8,7,8,11,6,5,3,5,4,3,3,1,2,1,2,3,0,1,1,2
>4.3,50,86,79,40,46,50,58,52,39,46,45,52,38,34,15,35,32,40,27,41,16,11,16,18,13,13,6,6,9,12,9,7,6,6,8,5,7,1,1,4,1,1,0
